01:52:53 : CPU 18.8%, MEM 2.4%
02:03:43 : CPU 25.0%, MEM 5.0%
02:03:44 : CPU 20.0%, MEM 5.0%
02:03:45 : CPU 20.0%, MEM 5.0%
02:03:46 : CPU 20.0%, MEM 5.0%
02:03:47 : CPU 20.0%, MEM 5.0%
02:03:48 : CPU 13.3%, MEM 5.0%
02:03:50 : CPU 20.0%, MEM 5.0%
02:03:51 : CPU 20.0%, MEM 5.0%
02:03:52 : CPU 18.8%, MEM 5.0%
02:03:53 : CPU 18.8%, MEM 5.0%
02:03:54 : CPU 20.0%, MEM 5.0%
02:03:55 : CPU 20.0%, MEM 5.0%
02:03:56 : CPU 13.3%, MEM 5.0%
02:03:58 : CPU 13.3%, MEM 5.0%
02:03:59 : CPU 20.0%, MEM 5.0%
02:04:00 : CPU 26.7%, MEM 5.0%
02:04:01 : CPU 18.8%, MEM 5.0%
02:04:02 : CPU 12.5%, MEM 5.0%
02:04:03 : CPU 20.0%, MEM 5.0%
02:04:05 : CPU 20.0%, MEM 5.0%
02:04:06 : CPU 20.0%, MEM 5.0%
02:04:07 : CPU 13.3%, MEM 5.0%
02:04:08 : CPU 12.5%, MEM 5.0%
02:04:09 : CPU 20.0%, MEM 5.0%
02:04:10 : CPU 20.0%, MEM 5.0%
02:04:12 : CPU 13.3%, MEM 5.0%
02:04:13 : CPU 20.0%, MEM 5.0%
02:04:14 : CPU 20.0%, MEM 5.0%
02:04:15 : CPU 12.5%, MEM 5.0%
02:04:16 : CPU 26.7%, MEM 5.0%
02:04:17 : CPU 20.0%, MEM 5.0%
02:04:19 : CPU 13.3%, MEM 5.0%
02:04:20 : CPU 20.0%, MEM 5.0%
02:04:21 : CPU 12.5%, MEM 5.0%
02:04:22 : CPU 18.8%, MEM 5.0%
02:04:23 : CPU 13.3%, MEM 5.0%
02:04:24 : CPU 20.0%, MEM 5.0%
02:04:26 : CPU 20.0%, MEM 5.0%
02:04:27 : CPU 13.3%, MEM 5.0%
02:04:28 : CPU 13.3%, MEM 5.0%
02:04:29 : CPU 20.0%, MEM 5.0%
02:04:30 : CPU 18.8%, MEM 5.0%
02:04:31 : CPU 18.8%, MEM 5.0%
02:04:32 : CPU 13.3%, MEM 5.0%
02:04:34 : CPU 20.0%, MEM 5.0%
02:04:35 : CPU 20.0%, MEM 5.0%
02:04:36 : CPU 26.7%, MEM 5.0%
02:04:37 : CPU 20.0%, MEM 5.0%
02:04:38 : CPU 18.8%, MEM 5.0%
02:04:39 : CPU 18.8%, MEM 5.0%
02:04:41 : CPU 26.7%, MEM 5.0%
02:04:42 : CPU 26.7%, MEM 5.0%
02:04:43 : CPU 20.0%, MEM 5.0%
02:04:44 : CPU 12.5%, MEM 5.0%
02:04:45 : CPU 12.5%, MEM 5.0%
02:04:46 : CPU 20.0%, MEM 5.0%
02:04:48 : CPU 20.0%, MEM 5.0%
02:04:49 : CPU 26.7%, MEM 5.0%
02:04:50 : CPU 20.0%, MEM 5.0%
02:04:51 : CPU 25.0%, MEM 5.0%
02:04:52 : CPU 12.5%, MEM 5.0%
02:04:53 : CPU 13.3%, MEM 5.0%
02:04:55 : CPU 13.3%, MEM 5.0%
02:04:56 : CPU 20.0%, MEM 5.0%
02:04:57 : CPU 20.0%, MEM 5.0%
02:04:58 : CPU 20.0%, MEM 5.0%
02:04:59 : CPU 20.0%, MEM 5.0%
02:05:00 : CPU 12.5%, MEM 5.0%
02:05:02 : CPU 20.0%, MEM 5.0%
02:05:03 : CPU 13.3%, MEM 5.0%
02:05:04 : CPU 13.3%, MEM 5.0%
02:05:05 : CPU 20.0%, MEM 5.0%
02:05:06 : CPU 18.8%, MEM 5.0%
02:05:07 : CPU 18.8%, MEM 5.0%
02:05:08 : CPU 13.3%, MEM 5.0%
02:05:10 : CPU 20.0%, MEM 5.0%
02:05:11 : CPU 20.0%, MEM 5.0%
02:05:12 : CPU 20.0%, MEM 5.0%
02:05:13 : CPU 20.0%, MEM 5.0%
02:05:14 : CPU 12.5%, MEM 5.0%
02:05:15 : CPU 18.8%, MEM 5.0%
02:05:17 : CPU 20.0%, MEM 5.0%
02:05:18 : CPU 20.0%, MEM 5.0%
02:05:19 : CPU 26.7%, MEM 5.0%
02:05:20 : CPU 18.8%, MEM 5.0%
02:05:21 : CPU 20.0%, MEM 5.0%
02:05:22 : CPU 13.3%, MEM 5.0%
02:05:24 : CPU 20.0%, MEM 5.0%
02:05:25 : CPU 20.0%, MEM 5.0%
02:05:26 : CPU 20.0%, MEM 5.0%
02:05:27 : CPU 12.5%, MEM 5.0%
02:05:28 : CPU 12.5%, MEM 5.0%
02:05:29 : CPU 18.8%, MEM 5.0%
02:05:31 : CPU 13.3%, MEM 5.0%
02:05:32 : CPU 20.0%, MEM 5.0%
02:05:33 : CPU 13.3%, MEM 5.0%
02:05:34 : CPU 20.0%, MEM 5.0%
02:05:35 : CPU 20.0%, MEM 5.0%
02:05:36 : CPU 20.0%, MEM 5.0%
02:05:38 : CPU 12.5%, MEM 5.0%
02:05:39 : CPU 12.5%, MEM 5.0%
02:05:40 : CPU 20.0%, MEM 5.0%
02:05:41 : CPU 26.7%, MEM 5.0%
02:05:42 : CPU 20.0%, MEM 5.0%
02:05:43 : CPU 20.0%, MEM 5.0%
02:05:44 : CPU 20.0%, MEM 5.0%
02:05:46 : CPU 20.0%, MEM 5.0%
02:05:47 : CPU 18.8%, MEM 5.0%
02:05:48 : CPU 18.8%, MEM 5.0%
02:05:49 : CPU 12.5%, MEM 5.0%
02:05:50 : CPU 13.3%, MEM 5.0%
02:05:51 : CPU 20.0%, MEM 5.0%
02:05:53 : CPU 13.3%, MEM 5.0%
02:05:54 : CPU 13.3%, MEM 5.0%
02:05:55 : CPU 20.0%, MEM 5.0%
02:05:56 : CPU 13.3%, MEM 5.0%
02:05:57 : CPU 20.0%, MEM 5.0%
02:05:58 : CPU 18.8%, MEM 5.0%
02:06:00 : CPU 25.0%, MEM 5.0%
02:06:01 : CPU 12.5%, MEM 5.0%
02:06:02 : CPU 12.5%, MEM 5.0%
02:06:03 : CPU 20.0%, MEM 5.0%
02:06:04 : CPU 20.0%, MEM 5.0%
02:06:05 : CPU 20.0%, MEM 5.0%
02:06:07 : CPU 26.7%, MEM 5.0%
02:06:08 : CPU 26.7%, MEM 5.0%
02:06:09 : CPU 12.5%, MEM 5.0%
02:06:10 : CPU 18.8%, MEM 5.0%
02:06:11 : CPU 20.0%, MEM 5.0%
02:06:12 : CPU 13.3%, MEM 5.0%
02:06:14 : CPU 13.3%, MEM 5.0%
02:06:15 : CPU 20.0%, MEM 5.0%
02:06:16 : CPU 20.0%, MEM 5.0%
02:06:17 : CPU 20.0%, MEM 5.0%
02:06:18 : CPU 18.8%, MEM 5.0%
02:06:19 : CPU 12.5%, MEM 5.0%
02:06:20 : CPU 26.7%, MEM 5.0%
02:06:22 : CPU 13.3%, MEM 5.0%
02:06:23 : CPU 20.0%, MEM 5.0%
02:06:24 : CPU 13.3%, MEM 5.0%
02:06:25 : CPU 20.0%, MEM 5.0%
02:06:26 : CPU 20.0%, MEM 5.0%
02:06:27 : CPU 12.5%, MEM 5.0%
02:06:29 : CPU 20.0%, MEM 5.0%
02:06:30 : CPU 20.0%, MEM 5.0%
02:06:31 : CPU 20.0%, MEM 5.0%
02:06:32 : CPU 20.0%, MEM 5.0%
02:06:33 : CPU 20.0%, MEM 5.0%
02:06:34 : CPU 20.0%, MEM 5.0%
02:06:36 : CPU 12.5%, MEM 5.0%
02:06:37 : CPU 18.8%, MEM 5.0%
02:06:38 : CPU 20.0%, MEM 5.0%
02:06:39 : CPU 20.0%, MEM 5.0%
02:06:40 : CPU 20.0%, MEM 5.0%
02:06:41 : CPU 20.0%, MEM 5.0%
02:06:43 : CPU 20.0%, MEM 5.0%
02:06:44 : CPU 20.0%, MEM 5.0%
02:06:45 : CPU 12.5%, MEM 5.0%
02:06:46 : CPU 18.8%, MEM 5.0%
02:06:47 : CPU 20.0%, MEM 5.0%
02:06:48 : CPU 20.0%, MEM 5.0%
02:06:50 : CPU 13.3%, MEM 5.0%
02:06:51 : CPU 20.0%, MEM 5.0%
02:06:52 : CPU 20.0%, MEM 5.0%
02:06:53 : CPU 25.0%, MEM 5.0%
02:06:54 : CPU 20.0%, MEM 5.0%
02:06:55 : CPU 26.7%, MEM 5.0%
02:06:56 : CPU 26.7%, MEM 5.0%
02:06:58 : CPU 20.0%, MEM 5.0%
02:06:59 : CPU 13.3%, MEM 5.0%
02:07:00 : CPU 20.0%, MEM 5.0%
02:07:01 : CPU 18.8%, MEM 5.0%
02:07:02 : CPU 18.8%, MEM 5.0%
02:07:03 : CPU 13.3%, MEM 5.0%
02:07:05 : CPU 20.0%, MEM 5.0%
02:07:06 : CPU 20.0%, MEM 5.0%
02:07:07 : CPU 20.0%, MEM 5.0%
02:07:08 : CPU 13.3%, MEM 5.0%
02:07:09 : CPU 13.3%, MEM 5.0%
02:07:10 : CPU 20.0%, MEM 5.0%
02:07:12 : CPU 18.8%, MEM 5.0%
02:07:13 : CPU 18.8%, MEM 5.0%
02:07:14 : CPU 20.0%, MEM 5.0%
02:07:15 : CPU 20.0%, MEM 5.0%
02:07:16 : CPU 20.0%, MEM 5.0%
02:07:17 : CPU 26.7%, MEM 5.0%
02:07:19 : CPU 13.3%, MEM 5.0%
02:07:20 : CPU 26.7%, MEM 5.0%
02:07:21 : CPU 18.8%, MEM 5.0%
02:07:22 : CPU 25.0%, MEM 5.0%
02:07:23 : CPU 20.0%, MEM 5.0%
02:07:24 : CPU 26.7%, MEM 5.0%
02:07:26 : CPU 20.0%, MEM 5.0%
02:07:27 : CPU 20.0%, MEM 5.0%
02:07:28 : CPU 20.0%, MEM 5.0%
02:07:29 : CPU 12.5%, MEM 5.0%
02:07:30 : CPU 12.5%, MEM 5.0%
02:07:31 : CPU 13.3%, MEM 5.0%
02:07:32 : CPU 13.3%, MEM 5.0%
02:07:34 : CPU 13.3%, MEM 5.0%
02:07:35 : CPU 13.3%, MEM 5.0%
02:07:36 : CPU 26.7%, MEM 5.0%
02:07:37 : CPU 13.3%, MEM 5.0%
02:07:38 : CPU 12.5%, MEM 5.0%
02:07:39 : CPU 20.0%, MEM 5.0%
02:07:41 : CPU 20.0%, MEM 5.0%
02:07:42 : CPU 20.0%, MEM 5.0%
02:07:43 : CPU 20.0%, MEM 5.0%
02:07:44 : CPU 13.3%, MEM 5.0%
02:07:45 : CPU 20.0%, MEM 5.0%
02:07:46 : CPU 13.3%, MEM 5.0%
02:07:48 : CPU 18.8%, MEM 5.0%
02:07:49 : CPU 12.5%, MEM 5.0%
02:07:50 : CPU 12.5%, MEM 5.0%
02:07:51 : CPU 18.8%, MEM 5.0%
02:07:52 : CPU 20.0%, MEM 5.0%
02:07:53 : CPU 20.0%, MEM 5.0%
02:07:55 : CPU 20.0%, MEM 5.0%
02:07:56 : CPU 13.3%, MEM 5.0%
02:07:57 : CPU 20.0%, MEM 5.0%
02:07:58 : CPU 20.0%, MEM 5.0%
02:07:59 : CPU 20.0%, MEM 5.0%
02:08:00 : CPU 18.8%, MEM 5.0%
02:08:02 : CPU 18.8%, MEM 5.0%
02:08:03 : CPU 20.0%, MEM 5.0%
02:08:04 : CPU 20.0%, MEM 5.0%
02:08:05 : CPU 20.0%, MEM 5.0%
02:08:06 : CPU 20.0%, MEM 5.0%
02:08:07 : CPU 13.3%, MEM 5.0%
02:08:08 : CPU 20.0%, MEM 5.0%
02:08:10 : CPU 13.3%, MEM 5.0%
02:08:11 : CPU 25.0%, MEM 5.0%
02:08:12 : CPU 18.8%, MEM 5.0%
02:08:13 : CPU 26.7%, MEM 5.0%
02:08:14 : CPU 20.0%, MEM 5.0%
02:08:15 : CPU 13.3%, MEM 5.0%
02:08:17 : CPU 26.7%, MEM 5.0%
02:08:18 : CPU 20.0%, MEM 5.0%
02:08:19 : CPU 13.3%, MEM 5.0%
02:08:20 : CPU 18.8%, MEM 5.0%
02:08:21 : CPU 25.0%, MEM 5.0%
02:08:22 : CPU 20.0%, MEM 5.0%
02:08:24 : CPU 20.0%, MEM 5.0%
02:08:25 : CPU 20.0%, MEM 5.0%
02:08:26 : CPU 20.0%, MEM 5.0%
02:08:27 : CPU 20.0%, MEM 5.0%
02:08:28 : CPU 18.8%, MEM 5.0%
02:08:29 : CPU 25.0%, MEM 5.0%
02:08:31 : CPU 13.3%, MEM 5.0%
02:08:32 : CPU 13.3%, MEM 5.0%
02:08:33 : CPU 20.0%, MEM 5.0%
02:08:34 : CPU 20.0%, MEM 5.0%
02:08:35 : CPU 13.3%, MEM 5.0%
02:08:36 : CPU 12.5%, MEM 5.0%
02:08:38 : CPU 18.8%, MEM 5.0%
02:08:39 : CPU 13.3%, MEM 5.0%
02:08:40 : CPU 26.7%, MEM 5.0%
02:08:41 : CPU 20.0%, MEM 5.0%
02:08:42 : CPU 13.3%, MEM 5.0%
02:08:43 : CPU 20.0%, MEM 5.0%
02:08:44 : CPU 26.7%, MEM 5.0%
02:08:46 : CPU 20.0%, MEM 5.0%
02:08:47 : CPU 18.8%, MEM 5.0%
02:08:48 : CPU 12.5%, MEM 5.0%
02:08:49 : CPU 12.5%, MEM 5.0%
02:08:50 : CPU 18.8%, MEM 5.0%
02:08:51 : CPU 20.0%, MEM 5.0%
02:08:53 : CPU 13.3%, MEM 5.0%
02:08:54 : CPU 13.3%, MEM 5.0%
02:08:55 : CPU 13.3%, MEM 5.0%
02:08:56 : CPU 20.0%, MEM 5.0%
02:08:57 : CPU 20.0%, MEM 5.0%
02:08:58 : CPU 18.8%, MEM 5.0%
02:09:00 : CPU 18.8%, MEM 5.0%
02:09:01 : CPU 13.3%, MEM 5.0%
02:09:02 : CPU 26.7%, MEM 5.0%
02:09:03 : CPU 20.0%, MEM 5.0%
02:09:04 : CPU 20.0%, MEM 5.0%
02:09:05 : CPU 20.0%, MEM 5.0%
02:09:07 : CPU 13.3%, MEM 5.0%
02:09:08 : CPU 13.3%, MEM 5.0%
02:09:09 : CPU 25.0%, MEM 5.0%
02:09:10 : CPU 18.8%, MEM 5.0%
02:09:11 : CPU 18.8%, MEM 5.0%
02:09:12 : CPU 26.7%, MEM 5.0%
02:09:14 : CPU 20.0%, MEM 5.0%
02:09:15 : CPU 20.0%, MEM 5.0%
02:09:16 : CPU 20.0%, MEM 5.0%
02:09:17 : CPU 20.0%, MEM 5.0%
02:09:18 : CPU 20.0%, MEM 5.0%
02:09:19 : CPU 18.8%, MEM 5.0%
02:09:20 : CPU 18.8%, MEM 5.0%
02:09:22 : CPU 26.7%, MEM 5.0%
02:09:23 : CPU 20.0%, MEM 5.0%
02:09:24 : CPU 13.3%, MEM 5.0%
02:09:25 : CPU 13.3%, MEM 5.0%
02:09:26 : CPU 13.3%, MEM 5.0%
02:09:27 : CPU 18.8%, MEM 5.0%
02:09:29 : CPU 12.5%, MEM 5.0%
02:09:30 : CPU 18.8%, MEM 5.0%
02:09:31 : CPU 20.0%, MEM 5.0%
02:09:32 : CPU 20.0%, MEM 5.0%
02:09:33 : CPU 26.7%, MEM 5.0%
02:09:34 : CPU 13.3%, MEM 5.0%
02:09:36 : CPU 20.0%, MEM 5.0%
02:09:37 : CPU 20.0%, MEM 5.0%
02:09:38 : CPU 12.5%, MEM 5.0%
02:09:39 : CPU 18.8%, MEM 5.0%
02:09:40 : CPU 26.7%, MEM 5.0%
02:09:41 : CPU 20.0%, MEM 5.0%
02:09:43 : CPU 26.7%, MEM 5.0%
02:09:44 : CPU 13.3%, MEM 5.0%
02:09:45 : CPU 20.0%, MEM 5.0%
02:09:46 : CPU 20.0%, MEM 5.0%
02:09:47 : CPU 26.7%, MEM 5.0%
02:09:48 : CPU 26.7%, MEM 5.0%
02:09:50 : CPU 12.5%, MEM 5.0%
02:09:51 : CPU 25.0%, MEM 5.0%
02:09:52 : CPU 12.5%, MEM 5.0%
02:09:53 : CPU 20.0%, MEM 5.0%
02:09:54 : CPU 20.0%, MEM 5.0%
02:09:55 : CPU 26.7%, MEM 5.0%
02:09:56 : CPU 20.0%, MEM 5.0%
02:09:58 : CPU 20.0%, MEM 5.0%
02:09:59 : CPU 18.8%, MEM 5.0%
02:10:00 : CPU 18.8%, MEM 5.0%
02:10:01 : CPU 13.3%, MEM 5.0%
02:10:02 : CPU 20.0%, MEM 5.0%
02:10:03 : CPU 20.0%, MEM 5.0%
02:10:05 : CPU 20.0%, MEM 5.0%
02:10:06 : CPU 12.5%, MEM 5.0%
02:10:07 : CPU 18.8%, MEM 5.0%
02:10:08 : CPU 20.0%, MEM 5.0%
02:10:09 : CPU 20.0%, MEM 5.0%
02:10:10 : CPU 20.0%, MEM 5.0%
02:10:12 : CPU 26.7%, MEM 5.0%
02:10:13 : CPU 20.0%, MEM 5.0%
02:10:14 : CPU 18.8%, MEM 5.0%
02:10:15 : CPU 18.8%, MEM 5.0%
02:10:16 : CPU 20.0%, MEM 5.0%
02:10:17 : CPU 20.0%, MEM 5.0%
02:10:19 : CPU 13.3%, MEM 5.0%
02:10:20 : CPU 13.3%, MEM 5.0%
02:10:21 : CPU 18.8%, MEM 5.0%
02:10:22 : CPU 13.3%, MEM 5.0%
02:10:23 : CPU 20.0%, MEM 5.0%
02:10:24 : CPU 13.3%, MEM 5.0%
02:10:26 : CPU 13.3%, MEM 5.0%
02:10:27 : CPU 13.3%, MEM 5.0%
02:10:28 : CPU 18.8%, MEM 5.0%
02:10:29 : CPU 12.5%, MEM 5.0%
02:10:30 : CPU 20.0%, MEM 5.0%
02:10:31 : CPU 13.3%, MEM 5.0%
02:10:32 : CPU 20.0%, MEM 5.0%
02:10:34 : CPU 20.0%, MEM 5.0%
02:10:35 : CPU 13.3%, MEM 5.0%
02:10:36 : CPU 20.0%, MEM 5.0%
02:10:37 : CPU 26.7%, MEM 5.0%
02:10:38 : CPU 20.0%, MEM 5.0%
02:10:39 : CPU 25.0%, MEM 5.0%
02:10:41 : CPU 18.8%, MEM 5.0%
02:10:42 : CPU 13.3%, MEM 5.0%
02:10:43 : CPU 20.0%, MEM 5.0%
02:10:44 : CPU 13.3%, MEM 5.0%
02:10:45 : CPU 20.0%, MEM 5.0%
02:10:46 : CPU 20.0%, MEM 5.0%
02:10:48 : CPU 13.3%, MEM 5.0%
02:10:49 : CPU 20.0%, MEM 5.0%
02:10:50 : CPU 18.8%, MEM 5.0%
02:10:51 : CPU 12.5%, MEM 5.0%
02:10:52 : CPU 26.7%, MEM 5.0%
02:10:53 : CPU 13.3%, MEM 5.0%
02:10:55 : CPU 20.0%, MEM 5.0%
02:10:56 : CPU 20.0%, MEM 5.0%
02:10:57 : CPU 26.7%, MEM 5.0%
02:10:58 : CPU 13.3%, MEM 5.0%
02:10:59 : CPU 18.8%, MEM 5.0%
02:11:00 : CPU 18.8%, MEM 5.0%
02:11:02 : CPU 13.3%, MEM 5.0%
02:11:03 : CPU 20.0%, MEM 5.0%
02:11:04 : CPU 20.0%, MEM 5.0%
02:11:05 : CPU 20.0%, MEM 5.0%
02:11:06 : CPU 20.0%, MEM 5.0%
02:11:07 : CPU 25.0%, MEM 5.0%
02:11:08 : CPU 12.5%, MEM 5.0%
02:11:10 : CPU 13.3%, MEM 5.0%
02:11:11 : CPU 20.0%, MEM 5.0%
02:11:12 : CPU 13.3%, MEM 5.0%
02:11:13 : CPU 20.0%, MEM 5.0%
02:11:14 : CPU 26.7%, MEM 5.0%
02:11:15 : CPU 13.3%, MEM 5.0%
02:11:17 : CPU 20.0%, MEM 5.0%
02:11:18 : CPU 25.0%, MEM 5.0%
02:11:19 : CPU 18.8%, MEM 5.0%
02:11:20 : CPU 12.5%, MEM 5.0%
02:11:21 : CPU 20.0%, MEM 5.0%
02:11:22 : CPU 13.3%, MEM 5.0%
02:11:24 : CPU 20.0%, MEM 5.0%
02:11:25 : CPU 13.3%, MEM 5.0%
02:11:26 : CPU 18.8%, MEM 5.0%
02:11:27 : CPU 13.3%, MEM 5.0%
02:11:28 : CPU 20.0%, MEM 5.0%
02:11:29 : CPU 20.0%, MEM 5.0%
02:11:31 : CPU 20.0%, MEM 5.0%
02:11:32 : CPU 20.0%, MEM 5.0%
02:11:33 : CPU 25.0%, MEM 5.0%
02:11:34 : CPU 18.8%, MEM 5.0%
02:11:35 : CPU 20.0%, MEM 5.0%
02:11:36 : CPU 20.0%, MEM 5.0%
02:11:38 : CPU 20.0%, MEM 5.0%
02:11:39 : CPU 20.0%, MEM 5.0%
02:11:40 : CPU 18.8%, MEM 5.0%
02:11:41 : CPU 25.0%, MEM 5.0%
02:11:42 : CPU 20.0%, MEM 5.0%
02:11:43 : CPU 20.0%, MEM 5.0%
02:11:44 : CPU 13.3%, MEM 5.0%
02:11:46 : CPU 20.0%, MEM 5.0%
02:11:47 : CPU 26.7%, MEM 5.0%
02:11:48 : CPU 12.5%, MEM 5.0%
02:11:49 : CPU 13.3%, MEM 5.0%
02:11:50 : CPU 20.0%, MEM 5.0%
02:11:51 : CPU 20.0%, MEM 5.0%
02:11:53 : CPU 20.0%, MEM 5.0%
02:11:54 : CPU 20.0%, MEM 5.0%
02:11:55 : CPU 18.8%, MEM 5.0%
02:11:56 : CPU 18.8%, MEM 5.0%
02:11:57 : CPU 20.0%, MEM 5.0%
02:11:58 : CPU 13.3%, MEM 5.0%
02:12:00 : CPU 20.0%, MEM 5.0%
02:12:01 : CPU 13.3%, MEM 5.0%
02:12:02 : CPU 20.0%, MEM 5.0%
02:12:03 : CPU 12.5%, MEM 5.0%
02:12:04 : CPU 18.8%, MEM 5.0%
02:12:05 : CPU 12.5%, MEM 5.0%
02:12:07 : CPU 26.7%, MEM 5.0%
02:12:08 : CPU 20.0%, MEM 5.0%
02:12:09 : CPU 20.0%, MEM 5.0%
02:12:10 : CPU 20.0%, MEM 5.0%
02:12:11 : CPU 13.3%, MEM 5.0%
02:12:12 : CPU 12.5%, MEM 5.0%
02:12:14 : CPU 12.5%, MEM 5.0%
02:12:15 : CPU 20.0%, MEM 5.0%
02:12:16 : CPU 20.0%, MEM 5.0%
02:12:17 : CPU 20.0%, MEM 5.0%
02:12:18 : CPU 20.0%, MEM 5.0%
02:12:19 : CPU 20.0%, MEM 5.0%
02:12:20 : CPU 13.3%, MEM 5.0%
02:12:22 : CPU 18.8%, MEM 5.0%
02:12:23 : CPU 12.5%, MEM 5.0%
02:12:24 : CPU 13.3%, MEM 5.0%
02:12:25 : CPU 13.3%, MEM 5.0%
02:12:26 : CPU 20.0%, MEM 5.0%
02:12:27 : CPU 20.0%, MEM 5.0%
02:12:29 : CPU 13.3%, MEM 5.0%
02:12:30 : CPU 18.8%, MEM 5.0%
02:12:31 : CPU 18.8%, MEM 5.0%
02:12:32 : CPU 20.0%, MEM 5.0%
02:12:33 : CPU 20.0%, MEM 5.0%
02:12:34 : CPU 13.3%, MEM 5.0%
02:12:36 : CPU 20.0%, MEM 5.0%
02:12:37 : CPU 13.3%, MEM 5.0%
02:12:38 : CPU 20.0%, MEM 5.0%
02:12:39 : CPU 20.0%, MEM 5.0%
02:12:40 : CPU 25.0%, MEM 5.0%
02:12:41 : CPU 18.8%, MEM 5.0%
02:12:43 : CPU 26.7%, MEM 5.0%
02:12:44 : CPU 13.3%, MEM 5.0%
02:12:45 : CPU 20.0%, MEM 5.0%
02:12:46 : CPU 20.0%, MEM 5.0%
02:12:47 : CPU 26.7%, MEM 5.0%
02:12:48 : CPU 20.0%, MEM 5.0%
02:12:50 : CPU 20.0%, MEM 5.0%
02:12:51 : CPU 20.0%, MEM 5.0%
02:12:52 : CPU 26.7%, MEM 5.0%
02:12:53 : CPU 18.8%, MEM 5.0%
02:12:54 : CPU 13.3%, MEM 5.0%
02:12:55 : CPU 20.0%, MEM 5.0%
02:12:56 : CPU 20.0%, MEM 5.0%
02:12:58 : CPU 13.3%, MEM 5.0%
02:12:59 : CPU 13.3%, MEM 5.0%
02:13:00 : CPU 20.0%, MEM 5.0%
02:13:01 : CPU 18.8%, MEM 5.0%
02:13:02 : CPU 12.5%, MEM 5.0%
02:13:03 : CPU 18.8%, MEM 5.0%
02:13:05 : CPU 20.0%, MEM 5.0%
02:13:06 : CPU 20.0%, MEM 5.0%
02:13:07 : CPU 20.0%, MEM 5.0%
02:13:08 : CPU 20.0%, MEM 5.0%
02:13:09 : CPU 18.8%, MEM 5.0%
02:13:10 : CPU 12.5%, MEM 5.0%
02:13:12 : CPU 20.0%, MEM 5.0%
02:13:13 : CPU 20.0%, MEM 5.0%
02:13:14 : CPU 20.0%, MEM 5.0%
02:13:15 : CPU 13.3%, MEM 5.0%
02:13:16 : CPU 20.0%, MEM 5.0%
02:13:17 : CPU 20.0%, MEM 5.0%
02:13:19 : CPU 20.0%, MEM 5.0%
02:13:20 : CPU 12.5%, MEM 5.0%
02:13:21 : CPU 18.8%, MEM 5.0%
02:13:22 : CPU 20.0%, MEM 5.0%
02:13:23 : CPU 20.0%, MEM 5.0%
02:13:24 : CPU 26.7%, MEM 5.0%
02:13:26 : CPU 20.0%, MEM 5.0%
02:13:27 : CPU 20.0%, MEM 5.0%
02:13:28 : CPU 13.3%, MEM 5.0%
02:13:29 : CPU 20.0%, MEM 5.0%
02:13:30 : CPU 25.0%, MEM 5.0%
02:13:31 : CPU 18.8%, MEM 5.0%
02:13:32 : CPU 20.0%, MEM 5.0%
02:13:34 : CPU 20.0%, MEM 5.0%
02:13:35 : CPU 20.0%, MEM 5.0%
02:13:36 : CPU 26.7%, MEM 5.0%
02:13:37 : CPU 18.8%, MEM 5.0%
02:13:38 : CPU 18.8%, MEM 5.0%
02:13:39 : CPU 13.3%, MEM 5.0%
02:13:41 : CPU 20.0%, MEM 5.0%
02:13:42 : CPU 13.3%, MEM 5.0%
02:13:43 : CPU 20.0%, MEM 5.0%
02:13:44 : CPU 18.8%, MEM 5.0%
02:13:45 : CPU 18.8%, MEM 5.0%
02:13:46 : CPU 13.3%, MEM 5.0%
02:13:48 : CPU 13.3%, MEM 5.0%
02:13:49 : CPU 20.0%, MEM 5.0%
02:13:50 : CPU 20.0%, MEM 5.0%
